name,pretrained,params (M),FLOPs (B),Average score,Flickr image retr. R@1,Flickr image retr. R@5,Flickr image retr. R@10,Flickr text retr. R@1,Flickr text retr. R@5,Flickr text retr. R@10,MSCOCO image retr. R@1,MSCOCO image retr. R@5,MSCOCO image retr. R@10,MSCOCO text retr. R@1,MSCOCO text retr. R@5,MSCOCO text retr. R@10,WinoGAViL avg jaccard score,WinoGAViL jaccard score 10,WinoGAViL jaccard score 10-12,WinoGAViL jaccard score 12,WinoGAViL jaccard score 5,WinoGAViL jaccard score 5-6,WinoGAViL jaccard score 6
ViT-SO400M-14-SigLIP-384,webli,877.96,723.48,0.7721,0.8296,0.9610,0.9804,0.9430,0.9970,0.9980,0.5421,0.7678,0.8424,0.7242,0.8998,0.9448,0.6181,0.5807,0.5754,0.5701,0.6427,0.6316,0.6210
ViT-H-14-378-quickgelu,dfn5b,986.71,1054.05,0.7719,0.8202,0.9598,0.9798,0.9400,0.9920,0.9960,0.5564,0.7920,0.8626,0.7188,0.9048,0.9496,0.6123,0.5668,0.5674,0.5679,0.6409,0.6265,0.6127
ViT-L-16-SigLIP-384,webli,652.48,422.91,0.7642,0.8142,0.9536,0.9748,0.9370,0.9920,0.9990,0.5391,0.7657,0.8399,0.7190,0.9006,0.9410,0.6070,0.5562,0.5550,0.5539,0.6422,0.6234,0.6056
ViT-H-14-quickgelu,dfn5b,986.11,381.68,0.7640,0.8012,0.9526,0.9738,0.9280,0.9940,0.9990,0.5391,0.7805,0.8553,0.7230,0.9024,0.9452,0.6022,0.5568,0.5561,0.5554,0.6315,0.6167,0.6028
ViT-L-16-SigLIP-256,webli,652.15,201.62,0.7619,0.7904,0.9446,0.9684,0.9180,0.9900,0.9980,0.5228,0.7580,0.8334,0.7080,0.8870,0.9374,0.6142,0.5877,0.5748,0.5619,0.6450,0.6267,0.6092
ViT-SO400M-14-SigLIP,webli,877.36,233.54,0.7567,0.7526,0.9226,0.9554,0.9100,0.9910,0.9980,0.5176,0.7527,0.8300,0.6966,0.8908,0.9348,0.6189,0.5736,0.5665,0.5594,0.6430,0.6354,0.6282
ViT-B-16-SigLIP-512,webli,203.79,227.26,0.7554,0.7906,0.9458,0.9690,0.9250,0.9920,0.9960,0.5055,0.7421,0.8217,0.6872,0.8786,0.9266,0.6070,0.5761,0.5696,0.5633,0.6291,0.6187,0.6088
ViT-B-16-SigLIP-384,webli,203.45,123.15,0.7542,0.7848,0.9416,0.9708,0.9270,0.9910,0.9980,0.4990,0.7366,0.8204,0.6774,0.8758,0.9258,0.6077,0.5730,0.5719,0.5709,0.6314,0.6190,0.6072
ViT-B-16-SigLIP-256,webli,203.2,57.84,0.7462,0.7504,0.9242,0.9626,0.9040,0.9830,0.9930,0.4834,0.7254,0.8099,0.6614,0.8634,0.9182,0.6113,0.5754,0.5715,0.5677,0.6373,0.6238,0.6110
ViT-B-16-SigLIP,webli,203.16,46.44,0.7442,0.7468,0.9230,0.9562,0.8910,0.9800,0.9930,0.4778,0.7244,0.8100,0.6574,0.8542,0.9126,0.6134,0.5726,0.5738,0.5750,0.6335,0.6259,0.6186
coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,638.45,214.52,0.7432,0.7846,0.9452,0.9712,0.8900,0.9870,0.9950,0.5374,0.7779,0.8567,0.6682,0.8762,0.9242,0.5762,0.5265,0.5146,0.5028,0.5978,0.5956,0.5934
ViT-H-14-quickgelu,metaclip_fullcc,986.11,381.68,0.7412,0.7834,0.9464,0.9692,0.9180,0.9870,0.9970,0.4882,0.7323,0.8136,0.6622,0.8618,0.9188,0.5891,0.5316,0.5312,0.5308,0.6220,0.6073,0.5934
ViT-L-14-quickgelu,dfn2b,427.62,175.33,0.7406,0.7546,0.9280,0.9608,0.8960,0.9850,0.9930,0.4856,0.7381,0.8237,0.6560,0.8584,0.9120,0.5955,0.5688,0.5519,0.5351,0.6219,0.6093,0.5973
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,1193.01,671.01,0.7363,0.7742,0.9392,0.9670,0.9180,0.9930,0.9980,0.4921,0.7305,0.8159,0.6596,0.8618,0.9184,0.5767,0.5277,0.5206,0.5135,0.6076,0.5943,0.5818
ViT-B-16-SigLIP-i18n-256,webli,370.63,57.84,0.7347,0.7216,0.9036,0.9470,0.8960,0.9820,0.9910,0.4492,0.6948,0.7837,0.6448,0.8434,0.9060,0.6113,0.5887,0.5710,0.5534,0.6303,0.6240,0.6180
ViT-L-14-quickgelu,metaclip_fullcc,427.62,175.33,0.7325,0.7642,0.9366,0.9646,0.9010,0.9850,0.9930,0.4709,0.7141,0.8026,0.6442,0.8504,0.9130,0.5817,0.5539,0.5357,0.5176,0.5990,0.5963,0.5937
ViT-H-14-CLIPA-336,laion2b,968.64,800.88,0.7289,0.7814,0.9392,0.9684,0.9230,0.9920,0.9970,0.5013,0.7387,0.8224,0.6752,0.8802,0.9308,0.5452,0.4970,0.4878,0.4786,0.5764,0.5633,0.5508
convnext_xxlarge,laion2b_s34b_b82k_augreg_rewind,1200.58,443.03,0.7238,0.7886,0.9438,0.9714,0.9110,0.9910,0.9970,0.5003,0.7407,0.8240,0.6740,0.8738,0.9264,0.5327,0.4826,0.4741,0.4656,0.5674,0.5512,0.5357
EVA02-L-14-336,merged2b_s6b_b61k,428.08,395.16,0.7235,0.7802,0.9432,0.9684,0.8960,0.9890,0.9960,0.4794,0.7172,0.7999,0.6416,0.8522,0.9084,0.5532,0.5081,0.5053,0.5025,0.5719,0.5683,0.5649
convnext_xxlarge,laion2b_s34b_b82k_augreg_soup,1200.58,443.03,0.7232,0.7902,0.9460,0.9706,0.9140,0.9920,0.9970,0.4997,0.7403,0.8227,0.6736,0.8722,0.9260,0.5316,0.4790,0.4702,0.4615,0.5651,0.5509,0.5374
EVA01-g-14-plus,merged2b_s11b_b114k,1366.62,581.15,0.7231,0.7900,0.9448,0.9692,0.9170,0.9930,0.9970,0.5033,0.7398,0.8206,0.6816,0.8750,0.9250,0.5298,0.4787,0.4684,0.4582,0.5655,0.5491,0.5336
ViT-bigG-14-CLIPA-336,datacomp1b,2517.76,2271.58,0.7220,0.7828,0.9408,0.9674,0.9220,0.9940,0.9980,0.5042,0.7432,0.8238,0.6776,0.8792,0.9306,0.5323,0.4624,0.4487,0.4350,0.5619,0.5587,0.5556
ViT-bigG-14,laion2b_s39b_b160k,2539.57,1065.36,0.7213,0.7956,0.9498,0.9714,0.9290,0.9930,0.9980,0.5137,0.7490,0.8300,0.6738,0.8686,0.9266,0.5224,0.4714,0.4488,0.4263,0.5588,0.5456,0.5330
EVA02-L-14,merged2b_s4b_b131k,427.76,175.3,0.7207,0.7732,0.9374,0.9678,0.8970,0.9850,0.9910,0.4747,0.7123,0.7971,0.6366,0.8434,0.9038,0.5518,0.5128,0.5081,0.5034,0.5767,0.5656,0.5551
ViT-L-14,commonpool_xl_laion_s13b_b90k,427.62,175.33,0.7206,0.7490,0.9308,0.9630,0.8770,0.9900,0.9950,0.4677,0.7142,0.8042,0.6350,0.8458,0.9122,0.5635,0.5193,0.4966,0.4740,0.6023,0.5846,0.5677
convnext_xxlarge,laion2b_s34b_b82k_augreg,1200.58,443.03,0.7201,0.7902,0.9414,0.9726,0.9160,0.9920,0.9970,0.4970,0.7400,0.8199,0.6698,0.8744,0.9236,0.5290,0.4730,0.4536,0.4343,0.5622,0.5527,0.5437
ViT-H-14-CLIPA-336,datacomp1b,968.64,800.88,0.7192,0.7652,0.9350,0.9630,0.9060,0.9920,0.9950,0.4928,0.7309,0.8144,0.6716,0.8746,0.9276,0.5365,0.4801,0.4587,0.4375,0.5658,0.5610,0.5566
EVA02-E-14-plus,laion2b_s9b_b144k,5044.89,2362.19,0.7188,0.7886,0.9434,0.9698,0.9410,0.9930,0.9980,0.5110,0.7492,0.8276,0.6872,0.8760,0.9274,0.5134,0.4576,0.4403,0.4232,0.5470,0.5364,0.5263
ViT-H-14-CLIPA,datacomp1b,968.24,354.02,0.7178,0.7588,0.9330,0.9628,0.9100,0.9900,0.9960,0.4910,0.7291,0.8140,0.6698,0.8730,0.9272,0.5343,0.4793,0.4578,0.4365,0.5641,0.5584,0.5529
ViT-bigG-14-CLIPA,datacomp1b,2517.22,1007.93,0.7175,0.7786,0.9374,0.9650,0.9190,0.9930,0.9980,0.4996,0.7414,0.8214,0.6780,0.8742,0.9312,0.5247,0.4461,0.4383,0.4306,0.5552,0.5519,0.5488
ViT-B-16,dfn2b,149.62,41.09,0.7158,0.6912,0.8982,0.9406,0.8540,0.9780,0.9860,0.4339,0.6924,0.7882,0.6038,0.8310,0.8946,0.5852,0.5509,0.5417,0.5327,0.6058,0.5989,0.5923
EVA02-E-14,laion2b_s4b_b115k,4704.59,2311.42,0.7152,0.7810,0.9438,0.9700,0.9220,0.9950,0.9970,0.5037,0.7429,0.8224,0.6746,0.8738,0.9256,0.5110,0.4316,0.4429,0.4542,0.5485,0.5325,0.5173
convnext_large_d_320,laion2b_s29b_b131k_ft_soup,351.77,157.98,0.7148,0.7704,0.9394,0.9648,0.9230,0.9890,0.9980,0.4829,0.7251,0.8103,0.6502,0.8608,0.9180,0.5285,0.4574,0.4549,0.4525,0.5650,0.5517,0.5391
ViT-L-14-quickgelu,metaclip_400m,427.62,175.33,0.7137,0.7342,0.9228,0.9574,0.8620,0.9800,0.9960,0.4381,0.6862,0.7780,0.6000,0.8290,0.8934,0.5701,0.5322,0.5175,0.5029,0.5941,0.5867,0.5796
convnext_large_d_320,laion2b_s29b_b131k_ft,351.77,157.98,0.7122,0.7690,0.9364,0.9668,0.9140,0.9890,0.9980,0.4814,0.7232,0.8103,0.6384,0.8558,0.9168,0.5250,0.4727,0.4558,0.4389,0.5623,0.5468,0.5321
convnext_large_d,laion2b_s26b_b102k_augreg,351.77,107.5,0.7102,0.7588,0.9310,0.9652,0.9180,0.9850,0.9940,0.4701,0.7139,0.8013,0.6400,0.8506,0.9140,0.5252,0.4835,0.4646,0.4457,0.5571,0.5443,0.5322
ViT-L-14-CLIPA-336,datacomp1b,414.54,387.39,0.7092,0.7462,0.9240,0.9590,0.9040,0.9920,0.9980,0.4715,0.7159,0.8024,0.6564,0.8636,0.9180,0.5276,0.4601,0.4449,0.4297,0.5611,0.5537,0.5467
ViT-L-14,datacomp_xl_s13b_b90k,427.62,175.33,0.7091,0.7338,0.9174,0.9554,0.8900,0.9860,0.9970,0.4573,0.7003,0.7916,0.6330,0.8414,0.9040,0.5471,0.4836,0.4666,0.4497,0.5912,0.5724,0.5546
ViT-g-14,laion2b_s12b_b42k,1366.68,581.15,0.7085,0.7642,0.9364,0.9624,0.9090,0.9910,0.9980,0.4802,0.7238,0.8079,0.6492,0.8530,0.9152,0.5178,0.4498,0.4427,0.4357,0.5589,0.5414,0.5249
coca_ViT-L-14,laion2b_s13b_b90k,638.45,214.52,0.7085,0.7428,0.9202,0.9542,0.8840,0.9930,0.9990,0.4565,0.7042,0.7921,0.6292,0.8370,0.9038,0.5403,0.4800,0.4739,0.4677,0.5704,0.5612,0.5525
ViT-B-16-quickgelu,metaclip_fullcc,149.62,41.09,0.7077,0.7072,0.9082,0.9454,0.8550,0.9740,0.9890,0.4134,0.6718,0.7696,0.5936,0.8058,0.8784,0.5787,0.5391,0.5221,0.5052,0.6064,0.5965,0.5871
ViT-H-14,laion2b_s32b_b79k,986.11,381.68,0.7057,0.7764,0.9418,0.9660,0.9070,0.9920,0.9970,0.4948,0.7338,0.8151,0.6592,0.8606,0.9188,0.4998,0.4289,0.4247,0.4206,0.5462,0.5234,0.5018
convnext_base_w,laion_aesthetic_s13b_b82k,179.39,49.38,0.7047,0.7306,0.9160,0.9532,0.8880,0.9820,0.9930,0.4355,0.6858,0.7808,0.6120,0.8338,0.8978,0.5461,0.4937,0.4764,0.4592,0.5829,0.5681,0.5540
ViT-L-14-CLIPA,datacomp1b,414.21,167.5,0.7044,0.7356,0.9206,0.9550,0.9020,0.9860,0.9930,0.4695,0.7084,0.7981,0.6512,0.8544,0.9150,0.5244,0.4495,0.4388,0.4282,0.5583,0.5514,0.5449
ViT-g-14,laion2b_s34b_b88k,1366.68,581.15,0.7038,0.7772,0.9416,0.9690,0.9140,0.9930,0.9960,0.4878,0.7334,0.8151,0.6638,0.8598,0.9184,0.4973,0.4207,0.4104,0.4001,0.5458,0.5247,0.5047
convnext_base_w_320,laion_aesthetic_s13b_b82k,179.39,71.94,0.7030,0.7402,0.9200,0.9524,0.9070,0.9830,0.9920,0.4387,0.6920,0.7824,0.6106,0.8312,0.8964,0.5385,0.4742,0.4610,0.4478,0.5695,0.5630,0.5567
ViT-L-14,laion2b_s32b_b82k,427.62,175.33,0.7010,0.7552,0.9286,0.9594,0.8950,0.9870,0.9940,0.4651,0.7108,0.7980,0.6336,0.8398,0.9074,0.5142,0.4448,0.4385,0.4322,0.5507,0.5381,0.5261
EVA01-g-14,laion400m_s11b_b41k,1136.44,547.36,0.7003,0.7264,0.9162,0.9510,0.8810,0.9830,0.9930,0.4406,0.6849,0.7732,0.6180,0.8328,0.8998,0.5363,0.4646,0.4640,0.4634,0.5665,0.5591,0.5521
convnext_base_w,laion2b_s13b_b82k,179.39,49.38,0.6976,0.7214,0.9152,0.9538,0.8770,0.9800,0.9930,0.4285,0.6805,0.7770,0.6058,0.8324,0.8954,0.5311,0.4926,0.4706,0.4488,0.5648,0.5501,0.5362
ViT-B-16-quickgelu,metaclip_400m,149.62,41.09,0.6962,0.6766,0.8960,0.9414,0.8570,0.9720,0.9870,0.3997,0.6536,0.7530,0.5648,0.7988,0.8714,0.5675,0.4984,0.5113,0.5242,0.5916,0.5853,0.5792
ViT-L-14,commonpool_xl_clip_s13b_b90k,427.62,175.33,0.6956,0.6886,0.8996,0.9424,0.8650,0.9740,0.9920,0.4273,0.6761,0.7700,0.6040,0.8190,0.8858,0.5460,0.4833,0.4728,0.4622,0.5821,0.5691,0.5566
convnext_base_w,laion2b_s13b_b82k_augreg,179.39,49.38,0.6922,0.7240,0.9144,0.9514,0.8730,0.9830,0.9920,0.4303,0.6786,0.7750,0.6140,0.8308,0.8964,0.5229,0.4504,0.4390,0.4276,0.5567,0.5494,0.5424
EVA02-B-16,merged2b_s8b_b131k,149.69,41.09,0.6904,0.7146,0.9114,0.9468,0.8600,0.9660,0.9880,0.4215,0.6686,0.7629,0.5874,0.8056,0.8812,0.5325,0.4686,0.4722,0.4758,0.5522,0.5515,0.5509
ViT-B-16,laion2b_s34b_b88k,149.62,41.09,0.6884,0.6984,0.9038,0.9456,0.8630,0.9790,0.9940,0.4231,0.6770,0.7706,0.5944,0.8178,0.8862,0.5220,0.4628,0.4601,0.4575,0.5549,0.5415,0.5288
ViT-B-32-quickgelu,metaclip_fullcc,151.28,14.78,0.6879,0.6510,0.8766,0.9274,0.8080,0.9530,0.9730,0.3806,0.6411,0.7430,0.5518,0.7890,0.8650,0.5729,0.5351,0.5238,0.5126,0.5983,0.5883,0.5788
convnext_base_w_320,laion_aesthetic_s13b_b82k_augreg,179.39,71.94,0.6870,0.7108,0.9032,0.9452,0.8910,0.9740,0.9900,0.4243,0.6722,0.7680,0.6040,0.8276,0.8912,0.5192,0.4599,0.4293,0.3989,0.5686,0.5475,0.5274
ViT-B-16,datacomp_xl_s13b_b90k,149.62,41.09,0.6867,0.6756,0.8834,0.9300,0.8510,0.9720,0.9840,0.4016,0.6595,0.7562,0.5744,0.8086,0.8830,0.5408,0.4966,0.4832,0.4699,0.5730,0.5590,0.5457
ViT-L-14,commonpool_xl_s13b_b90k,427.62,175.33,0.6817,0.6478,0.8656,0.9210,0.8200,0.9500,0.9740,0.3859,0.6310,0.7328,0.5446,0.7712,0.8484,0.5697,0.5115,0.5072,0.5030,0.5932,0.5894,0.5858
